kod_stacji,nazwa,lon,lat,kategoria,zrodlo,wysokosc_npm,rok_zalozenia
250150130,CIECHANOWICE,15.977222,50.867222,IMGW - posterunek opadowy,IMGW-PIB,405,1946
350160520,KŁODZKO,16.614167,50.436944,IMGW - stacja synoptyczna,IMGW-PIB,356,1945
251150340,GRYFÓW ŚLĄSKI,15.409444,51.026667,IMGW - posterunek opadowy,IMGW-PIB,312,1947
250160310,MIEROSZÓW,16.175833,50.6625,IMGW - posterunek opadowy,IMGW-PIB,493,1946
250150060,RĘBISZÓW,15.448889,50.951667,IMGW - posterunek opadowy,IMGW-PIB,420,1948
250150050,PILCHOWICE,15.64,50.962778,IMGW - posterunek opadowy,IMGW-PIB,251,1947
251150350,LUBOMIERZ,15.502778,51.015278,IMGW - posterunek opadowy,IMGW-PIB,365,1948
249190640,NOWE BYSTRE,19.929167,49.332222,IMGW - stacja klimatologiczna,IMGW-PIB,870,1947
249190680,HALA ORNAK,19.859444,49.229167,IMGW - stacja klimatologiczna,IMGW-PIB,1109,1949
249200050,STRADOMKA,20.309167,49.920833,IMGW - posterunek opadowy,IMGW-PIB,226,2006
249200060,GNOJNIK,20.588333,49.895278,IMGW - posterunek opadowy,IMGW-PIB,310,1996
249200070,DOBCZYCE,20.070556,49.8775,IMGW - stacja klimatologiczna,IMGW-PIB,308,1947
249200110,JODŁOWNIK,20.224722,49.770833,IMGW - stacja klimatologiczna,IMGW-PIB,384,1974
249200130,JASTRZĘBIA,20.896389,49.786389,IMGW - stacja klimatologiczna,IMGW-PIB,288,1977
249200140,WĘGLÓWKA,20.074444,49.750278,IMGW - posterunek opadowy,IMGW-PIB,512,1946
249220120,LESZCZOWATE,22.547778,49.507222,IMGW - stacja klimatologiczna,IMGW-PIB,486,1954
249220070,RYBOTYCZE,22.64,49.654444,IMGW - posterunek opadowy,IMGW-PIB,289,1948
349220695,PRZEMYŚL,22.771944,49.804167,IMGW - stacja synoptyczna,IMGW-PIB,230,1946
350220580,RZESZÓW-JASIONKA,22.042222,50.110833,IMGW - stacja synoptyczna,IMGW-PIB,206,1946
250230140,WIELKIE OCZY,23.158333,50.017778,IMGW - stacja klimatologiczna,IMGW-PIB,236,1955
250230130,FUTORY,23.046389,50.196667,IMGW - posterunek opadowy,IMGW-PIB,239,1946
250230170,JĘDRZEJÓWKA,23.342778,50.329722,IMGW - posterunek opadowy,IMGW-PIB,285,2013
250220140,TARNOGRÓD,22.756667,50.356667,IMGW - stacja klimatologiczna,IMGW-PIB,237,1956
250230060,JÓZEFÓW,23.058333,50.4875,IMGW - posterunek opadowy,IMGW-PIB,257,1948
250220130,BRODZIAKI,22.79,50.506667,IMGW - posterunek opadowy,IMGW-PIB,201,2006
